simulation_id,Train_method,Test_method,A_is_random,B_is_random,A_wins,B_wins,draws,terminated_games,avg_match_length
8,vs_belief,not_include_draws,True,False,501,3524,0,4025,24.843229813664596
8,vs_belief,include_draws,False,False,2544,2674,9977,5218,8.42276734380989
8,vs_belief,include_draws,False,True,1829,116,9840,1945,11.834961439588689
8,vs_belief,include_draws,True,False,151,3406,10072,3557,8.473151532190048
9,vs_random,not_include_draws,True,True,467,477,0,944,105.89724576271186
9,vs_random,include_draws,True,True,170,192,10072,362,16.58839779005525
9,vs_random,not_include_draws,False,True,6488,479,0,6967,14.353236687239844
9,vs_random,include_draws,False,True,5143,165,10058,5308,7.774679728711379
9,vs_belief,not_include_draws,False,False,5153,5210,0,10363,9.64865386471099
9,vs_belief,not_include_draws,False,True,3519,497,0,4016,24.900398406374503
9,vs_belief,not_include_draws,True,False,466,3161,0,3627,27.53846153846154
9,vs_belief,include_draws,False,False,3895,3679,10020,7574,6.976366517031951
9,vs_belief,include_draws,False,True,3083,201,9943,3284,9.039281364190012
9,vs_belief,include_draws,True,False,156,2410,10002,2566,9.948947778643804
10,vs_random,not_include_draws,True,True,488,501,0,989,101.09504550050556
10,vs_random,include_draws,True,True,166,163,10019,329,16.462006079027354
10,vs_random,not_include_draws,False,True,6158,506,0,6664,15.005402160864346
10,vs_random,include_draws,False,True,4938,130,10017,5068,8.112273086029992
10,vs_belief,not_include_draws,False,False,4564,4071,0,8635,11.580428488708744
10,vs_belief,not_include_draws,False,True,2237,309,0,2546,39.26472898664572
10,vs_belief,not_include_draws,True,False,453,4346,0,4799,20.83454886434674
10,vs_belief,include_draws,False,False,3334,3080,10025,6414,7.300280636108512
10,vs_belief,include_draws,False,True,1761,125,9899,1886,10.002120890774124
10,vs_belief,include_draws,True,False,154,3756,10012,3910,8.398976982097187
