simulation_id,Train_method,Test_method,A_is_random,B_is_random,A_wins,B_wins,draws,terminated_games,avg_match_length
8,vs_belief,not_include_draws,True,False,641,2829,0,3470,28.804034582132566
8,vs_belief,include_draws,False,False,3073,2590,9977,5663,8.148331273176762
8,vs_belief,include_draws,False,True,2381,167,9840,2548,10.691915227629513
8,vs_belief,include_draws,True,False,206,2042,10072,2248,11.509786476868328
9,vs_random,not_include_draws,True,True,467,477,0,944,105.89724576271186
9,vs_random,include_draws,True,True,170,192,10072,362,16.58839779005525
9,vs_random,not_include_draws,False,True,4048,796,0,4844,20.642650701899257
9,vs_random,include_draws,False,True,3458,208,10058,3666,9.337152209492634
9,vs_belief,not_include_draws,False,False,7072,7329,0,14401,6.943823345601
9,vs_belief,not_include_draws,False,True,4252,751,0,5003,19.987607435538678
9,vs_belief,not_include_draws,True,False,755,4297,0,5052,19.793151227236738
9,vs_belief,include_draws,False,False,5128,5593,10020,10721,5.864378322917639
9,vs_belief,include_draws,False,True,3984,237,9943,4221,8.117033878227907
9,vs_belief,include_draws,True,False,231,3908,10002,4139,8.408311186276878
10,vs_random,not_include_draws,True,True,488,501,0,989,101.09504550050556
10,vs_random,include_draws,True,True,166,163,10019,329,16.462006079027354
10,vs_random,not_include_draws,False,True,4204,769,0,4973,20.10094510355922
10,vs_random,include_draws,False,True,3648,205,10017,3853,8.794964962366986
10,vs_belief,not_include_draws,False,False,4801,4488,0,9289,10.76445257831844
10,vs_belief,not_include_draws,False,True,4042,712,0,4754,21.034497265460665
10,vs_belief,not_include_draws,True,False,652,2508,0,3160,31.644303797468353
10,vs_belief,include_draws,False,False,3951,3257,10025,7208,7.176331853496116
10,vs_belief,include_draws,False,True,4130,215,9899,4345,7.845569620253165
10,vs_belief,include_draws,True,False,200,1708,10012,1908,12.134171907756814
